22	12
99	55
87	63
77	43
97	41
81	67
77	18
14	0
98	79
42	10
63	53
73	47
16	15
49	46
42	17
97	39
59	43
51	34
70	53
65	5
55	39
66	14
73	62
78	1
76	33
88	64
89	12
45	37
98	44
91	54
40	26
74	55
75	2
77	31
58	0
25	11
80	42
98	93
45	39
74	45
88	69
91	83
33	26
80	20
79	58
75	46
18	5
69	25
51	47
65	56
78	51
71	7
97	56
17	10
68	58
80	27
88	9
66	10
29	7
74	43
53	25
70	63
74	59
41	29
67	12
73	50
92	60
67	23
73	54
71	48
49	1
40	37
90	16
89	9
71	68
79	68
44	26
76	12
44	35
11	0
86	67
71	8
96	66
97	48
87	44
57	22
31	9
82	51
85	51
82	0
86	39
21	6
95	72
52	7
49	7
42	28
32	14
80	70
83	25
90	25
41	3
33	28
94	22
89	45
20	5
61	27
31	26
30	26
90	64
80	30
59	45
28	7
47	13
74	42
31	2
95	55
57	10
26	21
86	34
86	73
78	39
86	77
90	84
86	20
27	9
72	10
86	3
62	55
56	50
63	35
71	33
90	73
26	7
56	0
62	37
84	62
85	35
17	15
63	27
74	18
64	48
70	9
58	41
59	28
18	11
60	16
87	75
41	19
36	17
84	15
82	58
45	16
85	57
59	49
55	46
90	38
84	1
95	91
65	45
81	37
41	9
76	20
84	35
36	20
41	8
33	30
72	24
64	37
32	8
90	47
48	3
99	70
38	34
66	26
84	23
60	23
48	39
32	9
98	76
32	5
65	44
87	81
45	42
88	22
85	12
59	50
52	48
13	3
71	54
76	42
44	23
19	11
84	5
59	7
52	18
90	80
90	71
60	38
95	92
98	65
84	27
75	7
28	23
76	9
89	25
79	37
86	70
54	5
61	54
83	33
99	65
50	27
89	7
24	6
34	32
20	17
72	58
67	18
24	17
45	12
49	13
63	42
83	53
55	44
65	23
98	49
39	10
38	24
93	22
98	69
86	40
73	2
22	2
62	60
86	0
77	21
95	82
59	19
38	10
68	0
69	10
49	37
69	30
82	74
80	67
77	62
55	48
93	1
73	41
77	12
82	52
84	4
20	8
80	39
95	16
77	25
74	37
82	10
92	16
78	24
61	50
87	0
58	28
58	34
78	32
77	4
96	77
81	54
82	20
97	30
56	5
97	18
73	29
64	31
78	36
4	2
26	1
90	41
68	13
88	19
35	13
10	8
37	9
75	39
94	91
65	59
53	46
56	46
96	63
50	49
82	38
62	14
57	37
62	16
83	17
91	81
65	14
74	51
72	27
26	13
99	37
7	2
49	33
99	49
71	51
26	4
46	15
62	42
62	50
38	31
62	29
91	7
93	9
75	67
46	6
49	22
88	85
49	31
73	48
78	6
77	35
99	75
86	74
67	47
82	35
60	8
99	71
62	13
85	17
71	18
86	28
72	15
34	12
95	38
73	20
43	30
70	37
69	7
93	10
47	34
62	15
91	44
57	28
62	7
93	79
81	79
93	63
94	28
82	24
35	19
30	22
78	56
59	32
70	60
95	60
19	0
85	7
74	67
30	18
79	7
88	43
34	11
96	83
49	34
96	7
81	22
66	62
40	18
74	32
72	31
91	36
68	11
54	23
35	25
47	2
64	60
66	23
94	49
94	57
96	12
42	41
37	10
71	38
94	55
92	25
28	13
69	55
50	4
67	9
98	74
83	43
52	47
92	58
32	26
92	91
56	33
67	28
85	69
46	39
74	40
19	7
64	15
94	87
99	66
67	29
91	47
92	6
54	49
80	1
92	35
54	6
52	49
99	26
17	4
75	10
60	30
36	4
90	33
74	68
33	21
81	45
33	22
48	41
41	23
19	13
95	63
99	18
91	41
53	12
99	45
58	14
91	28
86	65
83	11
54	41
87	78
49	32
49	38
82	3
41	27
67	36
31	1
72	26
69	29
91	16
87	12
44	32
93	62
79	55
63	3
68	15
97	3
96	40
77	32
50	46
93	38
91	2
84	75
63	59
66	33
34	9
68	37
70	54
52	30
89	37
92	69
69	1
99	2
74	58
78	41
84	63
48	12
57	4
69	8
52	51
98	66
94	88
78	76
92	12
90	17
65	50
43	12
86	12
37	3
84	83
49	8
74	65
60	53
54	43
85	70
58	32
69	31
77	68
84	78
92	24
